game,game_time,minimum_total,minimum_odds,confidence,decision,elite_goalie_flag,goalie_warning,action,stake,reasoning,hit_rate,flag_count,flags,floor_10th,floor_safe,expected_total,combined_gpg,buffer,game_time_parsed,game_key,game_date,actual_total,result
San Jose Sharks @ Minnesota Wild,2025-11-11 20:10:00-05:00,3.5,-1200,33.0,NO,False,No elite goalie concerns,SKIP,0.0,Weak offense (2.67 GPG) | Slow pace (26.7 shots/game) | SJS hot | MIN neutral | Good buffer (1.8 goals) | SJS 3 days rest | MIN 2 days rest,,,,,,,,,2025-11-12 01:10:00+00:00,2025-11-12_San Jose Sharks @ Minnesota Wild,2025-11-12,,PENDING
Anaheim Ducks @ Minnesota Wild,2025-11-15 18:00:00-05:00,3.5,-1050,33.0,NO,False,No elite goalie concerns,SKIP,0.0,Weak offense (2.74 GPG) | Slow pace (27.4 shots/game) | ANA hot | MIN neutral | Good buffer (2.0 goals) | ANA 2 days rest | MIN 4 days rest,,,,,,,,,2025-11-15 23:00:00+00:00,2025-11-15_Anaheim Ducks @ Minnesota Wild,2025-11-15,,PENDING
San Jose Sharks @ Seattle Kraken,2025-11-15 22:00:00-05:00,3.5,-825,31.0,NO,False,No elite goalie concerns,SKIP,0.0,Weak offense (2.79 GPG) | Slow pace (27.9 shots/game) | SJS warm | SEA cold | Strong buffer (2.1 goals) | SJS 2 days rest | SEA 2 days rest,,,,,,,,,2025-11-16 03:00:00+00:00,2025-11-16_San Jose Sharks @ Seattle Kraken,2025-11-16,,PENDING
Pittsburgh Penguins @ Nashville Predators,2025-11-14 14:15:00-05:00,3.5,-920,31.0,NO,False,No elite goalie concerns,SKIP,0.0,Weak offense (2.79 GPG) | Slow pace (27.9 shots/game) | PIT neutral | NSH neutral | Strong buffer (2.1 goals) | PIT 5 days rest | NSH 4 days rest,,,,,,,,,2025-11-14 19:15:00+00:00,2025-11-14_Pittsburgh Penguins @ Nashville Predators,2025-11-14,,PENDING
Minnesota Wild @ Chicago Blackhawks,2025-11-26 20:40:00-05:00,3.5,-675,31.0,NO,False,No elite goalie concerns,SKIP,0.0,Weak offense (2.77 GPG) | Slow pace (27.7 shots/game) | MIN neutral | CHI neutral | Strong buffer (2.0 goals) | MIN 3 days rest | CHI 3 days rest,,,,,,,,,2025-11-27 01:40:00+00:00,2025-11-27_Minnesota Wild @ Chicago Blackhawks,2025-11-27,,PENDING
Utah Mammoth @ San Jose Sharks,2025-11-18 22:00:00-05:00,3.5,-1000,31.0,NO,False,No elite goalie concerns,SKIP,0.0,Weak offense (2.75 GPG) | Slow pace (27.5 shots/game) | UTA neutral | SJS neutral | Strong buffer (2.0 goals) | UTA 3 days rest | SJS 2 days rest,,,,,,,,,2025-11-19 03:00:00+00:00,2025-11-19_Utah Mammoth @ San Jose Sharks,2025-11-19,,PENDING
Calgary Flames @ Chicago Blackhawks,2025-11-18 20:30:00-05:00,3.5,-750,31.0,NO,False,No elite goalie concerns,SKIP,0.0,Weak offense (2.75 GPG) | Slow pace (27.5 shots/game) | CGY cold | CHI warm | Strong buffer (2.0 goals) | CGY 2 days rest | CHI 2 days rest,,,,,,,,,2025-11-19 01:30:00+00:00,2025-11-19_Calgary Flames @ Chicago Blackhawks,2025-11-19,,PENDING
Ottawa Senators @ San Jose Sharks,2025-11-22 19:10:00-05:00,3.5,-775,28.0,NO,False,No elite goalie concerns,SKIP,0.0,Weak offense (2.76 GPG) | Slow pace (27.6 shots/game) | OTT cold | SJS neutral | Strong buffer (2.0 goals) | OTT 2 days rest | SJS 2 days rest,,,,,,,,,2025-11-23 00:10:00+00:00,2025-11-23_Ottawa Senators @ San Jose Sharks,2025-11-23,,PENDING
Nashville Predators @ Pittsburgh Penguins,2025-11-16 09:15:00-05:00,3.5,-825,28.0,NO,False,No elite goalie concerns,SKIP,0.0,Weak offense (2.79 GPG) | Slow pace (27.9 shots/game) | NSH cold | PIT neutral | Strong buffer (2.1 goals) | NSH 2 days rest | PIT 2 days rest,,,,,,,,,2025-11-16 14:15:00+00:00,2025-11-16_Nashville Predators @ Pittsburgh Penguins,2025-11-16,,PENDING
Boston Bruins @ New York Islanders,2025-11-26 19:10:00-05:00,3.5,-800,26.0,NO,False,No elite goalie concerns,SKIP,0.0,Weak offense (2.72 GPG) | Slow pace (27.2 shots/game) | BOS neutral | NYI neutral | Good buffer (1.9 goals) | BOS 3 days rest | NYI 3 days rest,,,,,,,,,2025-11-27 00:10:00+00:00,2025-11-27_Boston Bruins @ New York Islanders,2025-11-27,,PENDING
San Jose Sharks @ Calgary Flames,2025-11-13 21:10:00-05:00,3.5,-900,26.0,NO,False,No elite goalie concerns,SKIP,0.0,Weak offense (2.65 GPG) | Slow pace (26.5 shots/game) | SJS warm | CGY cold | Good buffer (1.8 goals) | SJS 2 days rest | CGY 2 days rest,,,,,,,,,2025-11-14 02:10:00+00:00,2025-11-14_San Jose Sharks @ Calgary Flames,2025-11-14,,PENDING
Nashville Predators @ Detroit Red Wings,2025-11-26 19:10:00-05:00,3.5,-850,25.0,NO,False,No elite goalie concerns,SKIP,0.0,Weak offense (2.76 GPG) | Slow pace (27.6 shots/game) | NSH cold | DET cold | Strong buffer (2.0 goals) | NSH 2 days rest | DET 2 days rest,,,,,,,,,2025-11-27 00:10:00+00:00,2025-11-27_Nashville Predators @ Detroit Red Wings,2025-11-27,,PENDING
Calgary Flames @ Nashville Predators,2025-12-02 20:10:00-05:00,3.5,-675,23.0,NO,False,No elite goalie concerns,SKIP,0.0,Weak offense (2.68 GPG) | Slow pace (26.8 shots/game) | CGY neutral | NSH cold | Good buffer (1.9 goals) | CGY 2 days rest | NSH 3 days rest,,,,,,,,,2025-12-03 01:10:00+00:00,2025-12-03_Calgary Flames @ Nashville Predators,2025-12-03,,PENDING
